Essays,Grammar,Lexical,Global Organization,Local Organization,Supporting Ideas,Holistic
"Nowadays, there are more and more people on the earth. Among them, the number of people in China is the most. Do we have to let go and keep the number increasing? Absolutely impossible!
There are three main reasons why I support family planning. First of all, the land resources are limited. However, the people become more and more. The resources can't feed the people in the future. Besides, It's a burden for a family to have so many children. Maybe the children can't have a good education. Finally, I think people should be excellent not the number we have.
All in all, in my opinion the government should limit the number of children a family can have.
",4,4,5,4.5,5,3
"As we all know,china has a large population. For it's large area, the population has a great explosion. And it will be one big resistance for human rights.
First of all, like a football team, if this team have 30 teammates, it will be easier for the leader to lead the team. But when the team have over 30 teammates, that will become a trouble for the leader. So as our country, although we have a strong force to resist other countries, we don't promise every chinese people can use their rights properly. In my opinion, it's a good way that we must try our best to protect our rights. As a chinese, we have the duty to take this important task. What's more, if you don't want someone to break your rights, you'd must respect other's rights. Beside, when you find some people use their basic rights improperly,you can finger out that .
In a word, we must use our basic rights through a right way.
",4,4,4,5,4,3
"There are more and more people in the world, and in some countries, like Germany and China, having approving the Family planning policy to control the growing population. But is it suitable for a government to limit the number of children in a fimily? For my perspective,  it is a effective way to decrease the population since the increasing number of people has brought many dangers to our society and does no good to our further development .  
To begin with, we all know that the resource is limited. Like food, water, land. so the average portions would be decreased because of the large population. Take the housing price for example, recent years, the housing price has a sharply growth, especialy in Beijing, causing great pressure to young people, obviously, this is the result of the large pupolation. In some poor regions, the lack of living space is not the top problem, because they even have not solve the problem of food since there are too many people to feed, but the food is limited.
Moreover, the population boom also causes great harm to our environment . There are more pollution than before because a large number of people produce rubbish everyday. And the area of forest is decreasing because we need more wood . The number of river and lake are also reduced, because we need water to support our life. Alll these result in many ecological problems, like the extinction of species,  wate rand soil loss, and sand storm, to name but a few.
The growing population also  brought many serious social problems like robbery and traffic jam. It also make the government management become more difficult. 
To sum up , If the government does not do something to control the population, there will be many social dangers  and our human rights can not be fully guaranteed , so I think the government should play a positive role in the population problem.
",6.5,6.5,7.5,7,7,5
"As we know, family planning policy is a basic policy in our country. Some people think it is illogical because of the limitation of human rights but others think it logical because it limit the population explosion effectively!
In my opinion, the policy is correct and i support it! Imagine that if every family all have two children or more, our society and our globe would be what? It might be crowded, disordered and overloaded! Which may called population explosion, when it take place, the country muse be spend a lot money and time to deal with it! It will bother us and our later generations for a long time!
So, it is essential to limit the number of children a family can have, it also is the expression of protect human rights! Everyone should observe this rule! Thank you!
",4.5,4.5,5,5,4.5,3
"it's evidently that human's civilization has developed a long time. The human's rights has gained more and more attention, especially the basic rights. I think it's essential for the development of the human society. Only in this way , can we live a happy and steady life. On the other hand, we aren't supposed to abusing our rights. The use of rights must base on the law. If everybody contributes a little, our world will never be out of control.
if the population explosion is get to the maximum, the steady of the society is hard to keep. What's more, the stress in every direction will be more, such as working, studying and gaining money. Therefore, what we should do is to prevent the increasing of the population. Keep everything in order and live a more and more beautiful life.
",5.5,5.5,4,5.5,4.5,3.5
"As is known to us all, the population of a country is the basic of development. The increase of population can push forward the productivity of a country. But there are two sides of a coin, it is also a problem that have too many people.Because if the increase of population has over the development of the country, the basic human rights will be ignored. And at that time, the population will be a burden.
As a country which has the most population over the world, to solve this problem, the government make the law that there should be only one child that one family can have. It make progress for some years, but with time goes on, we have another problem that our people is going to be old which means that our population is decreasing. So the government relax policy respect, now things are getting better. On the contrary, The Indian has nearly the same population as us but they still encourage their people to give birth to more child. Because their population are decreasing all the time. The same situation also happen in Russia and many country. 
In my opinion, population is based on a country's strength and situation. If one can not afford its population, then they can not satisfied their people, and people will against the government. As it says: the right is the best.
",5,5.5,6,5,5.5,4
"With the development of human society, more and more people believe that people are born with equal rights so they realize that anyone of them has the right to pursue what they deserve to have. That leads to a question. It is reasonable for everyone to get their basic human rights, but does it proper on the point of human development?
In my view, all rights base on proper rules. One can't not get most of his basic human rights if he does not obey basic rules in human society.
Let's see a simple example. What if we abandon the rules that we are using to vote our president in China that only the ones voted have the right to vote for the senior leaders, but carry out a principle that everyone can directly vote for the president they support? I think it is a quite dangerous time for our country's policy. Because it is easier to win if the voter give an enthusiastic but not a wise speech. People's emotion decides the result. I mean, not all people have the ability to tell which voter has the better ability. So it is improper to give everyone the right to vote. And the principle is also suitable in some other sides.
On the other side, if one only considers about his own right but not show respect to other people's. It's impossible for others to take his rights serious,so they attack him. Then he loses his rights.
As what I said above, I think it is more reasonable to limit people's right with proper rules and principles. And the key to keep a balance between the basic human rights and the danger of population explosion is how to a set series of fair and proper rules.
",4.5,4,5,6,5,3
"In my opinion, a government doesn't have the right to limit the number of children a family can have.
As the government of a country, government should ensure the development of the country, as for which, just keeping the enhancement of the economy is not enough. It's also required controlling the number of the people of the country, because too many people will reduce the development of the economy.
Though the government have to solve this issue, they can't use the law to limit the number of children. On the one hand, the public has the freedom to decide how many children they will have, for which to use the law will make them unhappy. On the other hand, the law is used to protect the right and safety of the citizen, instead of to limit the right of the citizen. It will be better provided that the government can illustrate the advantage and disadvantage of having fewer children, to encourage the parents don't have too many children.
All in all, a government shouldn't be allowed to limit the number of children a family can have.
",5,4,5.5,5,4,3
"Human rights are equal while you are born and cry on the blue planet. I think it's a dream that we don't make. But it's going to be a truth toughly and smoothly. In spite of we don't be aware of it, it happens every where and every time during we live in the world. No matter what rights are shall be respected indeed. Happily, we have seen that many men and women stand up, and fight against the cruel culture and unfair life style. Actually we also see that someone who say that they fight with appropriate rights but ignore another group's rights to entertain and satisfy their giant desire.
I hope one day we can live with others equally and happily.
And the other discussion about population explosion, well, I have some idea about it. Indeed, our country have tasted a lot of candies that population brings to us. But now, we have faced the problems we made by ourselves.
First, the work opportunity is a big question, which bring us amount of no-work people and the lack of high-tech worker may lead to slowly producing speed.
Second, the living house is another question, we have to feed the people, we have to accommodate them to a nice living place, we have to build the surrounding completely and nice. OK, that's a big treasure.
Third, the crime is also a problem, we need safe place to live, it's basic and I think no one will not like it.
Now, problems have to be solved, and we need them solved.
",6.5,5.5,7,6.5,7,5
"As time goes by, there has been many years since the government put forward the issue of limiting the number of children a family can have. So, are the policies and regulations really right and do good to the development of our country? And does this method influence the basic rights of humans?
On the one hand, the family planning policy is necessary. Due to the huge popularity and limited place of our country, there will be little and little place for people to live, and the pressure of adults will be heavier and heavier, which must influence the development of country's economy and citizen's living standards. What's more, it has been a trend that a family has a child and most people has adopt to this condition. So if relive the limitation now, maybe many family would turn into a mess.
On the other hand, the limitation of control the birth of the second kid of a family should be proper. There's also many families who want one more child because they just want the house to be livelier and they will be more relaxed when they are old. Therefore, having two children is people's personal rights and the government should not disfranchise them.
From where I am stand, the family planning policy should executed continually, but it should be a little humanized.
",5,5.5,6,5,5,4
"In china, the number of children a family can have has been limited by the government, which made many families can only have one child, leading to the trouble of only child. Therefore, there is a big debate for whether a government should be allowed to limit the number of children a family can have.
As far as I'm concerned, the answer is yes. China has a large population which makes a build-up of pressure in many aspects, such as land, food and so on. Because of the limit, the population can grow slowly, which help avoiding the population explosion. What's more, on count of the system, we can get the good living conditions now.
May be someone considers this problem from basic human rights, thinking that it violates human rights. However, I believe the government will always make principle on balance, and we should undertake the due obligations as a Chinese.
",4.5,4.5,5,5,5,3.5
"As we all know, the Chinese Government made and started the policy of family planning many years ago and take it as one of our basic policies. This policy does solve China's population problem successfully, but in recent years, the disadvantage of the policy gradually appear.
The most obvious consequence is the rate of youth become lower and lower. In society terms, this make China gradually losing it's ability to develop economy in future increasing the cost to take care of the elders. And in family terms, the limit of number of children may lead to may make children feel lonely or be spoiled by their parents. This all bad for children's future. And beyond what I mention above, some people with power use their privilege to have more children, which make normal people feel unfair. Having and bringing up children is people's nature and this nature is not different from having data, marriage or divorce. Since people have rights to decide these things by themselves, why they can't decide how many children they have. 
But with the traditional of ""More children, more happiness"", the population problem must be take into consideration. So, in my point of view, the government shouldn't be given the power to limit how many children a family have but they do should take some methods to guide or tell the couples how many children should a family better have in current country's or global condition. If a family follow the government's guide to have children with proper number, the government should give them some award in order to courage other families. In this way people can have the freedom to give birth to baby and the population problem can be solved in some degree as well.
",7,6,5.5,6,6,4
"In my opinion, the government should not limit the number of children a family can have.
Although it has the right and responsibility to take citzens’ safety of human right and theirs property into consideration，whether to have and how to raise a child are not including in their brochures of responsibility. What they should think about is how to provide more welfare and regulations promising those families which have two or more kids run smoothly which is the same that they edit the layer to support some factories.
It is right for the government to imagine what the future will be, population explosion, pollution, global temperature and so on. There are so much problems, and I believe almost every government in the world are take every effort attempting to solve them, whether for the fame or their citzens. But the most significant problem in this question is that human multiple because their need in psychology and body. We can not take control of a natural process. Once we take some means to depress those requriments, the bad effect will come out of the level of the sea. When the government decide to loose the control of birthing, they discover more than half of the family are not going to raise a child, in which case, a aging society come to us.
Maybe we can learn from a fairy story - how the leader of a tribe called Dayu curb the flooding. Chinese acient wisdom tells us it depending on dredging instead of blocking. My suggestion is that the government should promote the spread of right bearing concept. The government has the right of guiding instead of control. Education is the best way to solve this problem, especially people of the day have higher education level.

",6,7,5.5,5.5,6,4
"Should a government be allowed to limit the number of children a family can have?


With the economy developing rapidly and people’s living standard increasing remarkably, the government introduced a new policy called “Two-child Policy” recently, which has caused a fierce debate about whether a government is allowed to limit the number of children a family can have.
  Some people support the government, concerned about the danger of population explosion. If there wasn’t the Birth control policy, China would be full of people now, and not being hungry would be a serious problem. While others, maybe people who loves children, think it in another way, claiming that having children is one of the basic human rights, and the government has no reason to deprive their reasonable right.
  Every coin has two sides, so does the policy. In my opinion, the policy’s merits outweigh its short-comings, and the government should limit the number of new-borns at present in China. First, I think humans should be not only feed, but also educated. If the population is large, there wouldn’t be enough education resources. However, China is face with an extremely negative situation now—the aging population. As a result, the government’s new Two-child Policy remits this situation to some degree, which at the same time cares for human rights. 
",6,6,5,5,4.5,4
"It is certainly very understandable that some governments should start looking at ways of limiting their populations to a sustainable figure. In the past, populations were partly regulated by frequent war and widespread disease, but in recent years the effects of those factors have been diminished. The first fifty years of the next millennium will be critical for the world's population. By 2050, population growth should have leveled off, but by then we'll have 10 billion people, which is two thirds as many as we have today. The rate of population growth is something we can choose right now, a matter of human choice. The choice is a complicated one, with many variables, but it remains a choice.
If we want to prevent a population explosion, we should take action now -or assist the poorer countries to do so. They need better government, better institutions, better labor and capital markets, better schools.
Anything that increases the value of women's time and adds to the cost of caring for a child makes a woman less likely to have that child. Since big families are often seen as safety nets for illness and old age, improving poor people's access to insurance, pensions and welfare institutions also has a major impact. This can be as simple as rural credit, providing a means of saving. Finally, there is education--both for women and, perhaps even more important, for the next generation of children.
These steps are there to be taken, but there appear to be some countries that are not seriously trying at the moment. If we cannot achieve that we will certainly not control population.
That said, I don't feel pessimistic that we are going to run out of resources: we are becoming more efficient at producing food faster than the rate at which population is increasing. There is, however, a risk that we will wreck the environment so effectively that the world will no longer be an attractive place to live. That really would be a dismal outcome, to reach world population equilibrium only to find we'd destroyed the natural environment in the process.

",6,6.5,5.5,5.5,6,4
"Should a government be allowed to limit the number of children a family can have?

There are more than 6 billion people on the earth now. About one fifth of the total population is Chinese. And it is known to us that the number of Chinese have limited by the Chinese population policy for several decades. It may be quite different without the population policy that the Chinese government published today. Allowing the government to limit the number of children a family can have which is a matter of primary importance.
The area of the land of China measures 9.6 million square kilometers and some areas of China don’t have the living condition. To Chinese, almost every city is crowded now such as Beijing. It hardly to imagine that if there are more people in those cities. China’s total population is 1.375 billion in 2015. Many problem comes up with large population. Pollution, unemployment, nature recourses, traffic, etc. are the problem that cause by large population and we have to be faced with. 
We can imagine what our country would be like if the population policy didn’t publish by our government. Maybe people can sit on the top of the train like Indian when you travel to another province. More city would be located in the land of China which means the decrease of forests, lake and farmland. When people go shopping they have to spend more time on waiting. And it hard for China to become the largest financial country in the world. The lack of job is not only for college students but also for master students and even doctoral students.
Absolutely, if every parent of each family can think of more about the influence of the population and prefer to devote into the work of construct more attractive country than ride another child, it will never need the government’s limitation.

",7,4.5,6,5,7,4
"Assignment
Should a government be allowed to limlt the number of children a family can have? Yes, I think the government should be allowed.With the improvement of life standard and medical condition,people’s death rate declined and the average life span increased.If we don’t allowed the government to limit the fertility rate,people themselves won’t do that.This must lead to population explosion in our limited earth.
As we all know,population explosion is not a good thing for us.First of all,when the number of people increase,the demand for food will become more and more.However,because of the use of chemical fertilizer,the organic material in soil have been damaged.Land impoverishment and desertization happened.At the same time,a geat deal of plowland have been occupied.It becomes more difficult for us to increase the grain output.So,when population explosion happened,the first basic problem we have to face is food crisis.Then a series of chain reactions will happen.Once one year have a poor crop,famine will come rapidly especially in the development countries.To some degree,though famine won’t happen and people can live from hand to mouth,food shortage can still lead to many malnourished people.This condition may intensified unemployment and poverty.
Except food crisis,population explosion can also result in resource and zoology crisis.The resource in our planet is limited and the environment capacity is limited too.When more and more people live in the earth,the resourse and environment which every owns will become less and less.When conflict of interest happened between people and people,the contraditions between country and country or region and region will exacerbate.Then all the world will be in turmoil.This is horrible.
If the government don’t limit the number of children a family can have,we can imagine that ,one day,people have to live in a building having 2000 floors.At this time sunlight may become a kind of luxuries.People not live in paradise but in a big prision.
As far as I’m concerned,that the government limit the number of children a family can have is to assure the basic human rights better.Therefore,I hold the belief that a government should be allowed to limit the number of children a family can have.
",7,6.5,8,8,7,5
"It can’t be denied that the one-child policy adopted by the government have great impacts on our life. Beyond all doubt, policies are originally taken to control the popularity of our country. However, there are more and more people doubt that whether the government has the right to limit the number of children a family can have.
From my perspective, a government should not be allowed to limit the number of children a family can have. Undoubtedly, to have babies is one of the human rights that couldn’t be deprived by the government. To limit the number of kids a family can have is just the same as to limit the meals in one day individuals can have. Although we know it’s good for our health to have meals regularly, we still feel unpleasant to be required to do as the government said.
Nevertheless, to think of the development of China, the government has to make measures to deal with the problem caused by the larger and larger popularities. It brings lots of problems to the earth. For example, people may find it difficult to find a job. And the nature of the earth can’t provide plentiful resources for our human beings need. So it’s inevitable to take actions to control the expanding popularities, and the root lies in the number of children families have. It’s easy to understand the one-child policy but we just couldn’t accept it.
So it’s obvious a dilemma that a government will be in. But I think that if the government changes their one-child policy to one-child-bonus policy and the policy will be accepted easily. In other words, give those families more bonus to promote the policy but not compulsively limit the number of children.
",7,7,7.5,8,7,5
"   In my opinion, the government should limit the number of children a family can have.
  Firstly, as we all know, China is a super populous country with a population of more than 13 billion. In 2015, the China government change the One Child Policy, every family is allowed to have no more than 2 children. According to the database in 2015, the birth rate of China is 12.07%, the death rate is 7.11%. So the natural population growth rate in 2015 is 4.96%, that means the population increase about 64 million in a year. 64 million could be the total population of a European country. This is only the result of birth control, I can’t image what would happen without the limitation.
  Secondly, birth control can make parents pay more attention to their children. Raising children not just need money, more importantly parents should spend time with them and grow up together with them. What kind of person a child may become mostly depends on what kind of people their parents are. If their parents are lazy to work, with income and low education level, and they were allowed to have as much children as they like, that will be a destructive disaster to our country. So under conditions of the unknown family background, the government limit the number of children a family could have is to make sure every child in our society could become a good person.
  Last but not least, China is a developing country, the government cannot make sure that every child could receive the best education. In western country, children go to high school for free(except the private high school), so children can receive the basic education. But in China, many children in the countryside quit school after the graduation of junior middle school because their family are too poor to afford the fee. It sounds sad but this is common in China. So I think until the whole country is ready, it’s essential for the government to control the birth.
",4.5,4.5,6,3.5,5,3.5
"Nowadays, with the development of the technology, there are a lot of products producted to interest us and excite us. But we feel more void and more boring. Many families have only one child. They have no chance to communicate and share his or her secrets. So, they feel alone. According to this, I think the government should not limit the number of children a family can have. 
In my opinion, how many children a family can have will mainly depend on the thoughts of the family and the government have no power to limit it. In the one hand, stopping the children＇s  birth is a behavior that does not respect the basic human rights. It is against social morality and does not respect the lives at all. On the other hand, if a family only has one child, during the growth of the child, when he or she  feel all alone, she can not find the one to keep company with her every time, which is not good for the children＇s  physical and mental health. More worse, there is a possibility that the children will have the autistic disorder.
   In a word, for the sake of the children＇s  health and growth, the government should not limit the number of children a family should have. It is the freedom for every family.

",5,4,4.5,5,4.5,3
"Should the government limit the amount of children a family can have
With the society developing rapidly and people’s living standard improving remarkably, what we are faced with is a social phenomenon that more and more people are reluctant to have only one child, which causes a fierce debate about whether the government should limit the number of children a family can have.
As a student studying in modern society, I hold an opinion that the Governments absolutely have the right to limit family size since the government is of the people and for the people. There is no distinction between the people and the government. You may think that now we are in a free country and family size is not the business of the government, so the number of children can be decided by our wish. But, Overpopulation destroys us all and it gives an advantage to the spread of under educated religious nuts of every stripe. It is a universal acknowledgement that the number of people that a country can support is limited. If there is no limit, the result may be the explosion on population and we will run out of resources even ruin the earth. However, on the other hand, if every family only raise one child, the things will go worse either. We should consider not only the population aging problem but also the stress the only child should face when his or her parents get older.
The best choice for the government is to find out the balance of the population. Government can take measures just like a tax after the first two children and a really huge steep increase after the first three and so on . Only everyone in the society obey the rules the government makes can our society get more and more harmonious.
",5,5.5,6,6,6,4
"  Should a government be allowed to limit the number of children a family can have? What choices we can have toward such questions? 
Back to 1950s in China, the time when this country was newly founded and was struggling almost in every aspect: agriculture, industry, science and technology. The soil and resources are much while the population are little. That’s when Chairman Mao encouraged each family to have as many children as possible. Then in the next two decade came the population explosion. In the late 1980s, the Chinese government began to impose the one-child policy, which technically slowed down the population growth. Up to now, most family here in China still can only have one child. 
Basically every family have their rights to have children, and children’s children, in other word, more than one child since it is human nature that counts. Yet in a certain period, take the 1980s for example, if the Chinese government hadn’t carried out the policies to slow down the population explosion, the pages of history following would have been so different, with too large population and people lacking of food to eat and places to stay. 
However, things are quite different nowadays. China are facing with the aging of population. Family are going to have more kids than they used to in the last 30 years. Consequently Chinese government won’t press too much on the limit any more.
The time has witnessed the changes in China and its great nation. To limit the number of children families can have was meant to be a product of a certain period of history. And as we can see, a government might be allowed to limit the number of children a family can have if the limit isn’t pushed too hard and too much.
",6,5,5.5,5,5,4
"As is known to all，Chinese government released a policy about separate child last year. The separate child refers to a couple, one of which is the only child in the family and can have a second child. This policy stirred a heated discussion in society at that time. What influence this policy will bring remains to be seen, but in my opinion, the intervention measures government takes was right for sake of basic human rights and the danger of population.
One years ago, I have read a novel written by Dan Brown about the anger of population. I used to think that the plot in it was a way of exaggeration. But when I read some report an survey, I realized that it was not exaggeration, it was the truth that happens all the time. Our population has been expanded to a large number, which will cause severe environment problem. Moreover, the more people the earth undertake , the less resources individual will have. Although it seems cruel for couples to have just one child, but it has good influence on the development of  human in the long run. 
The ending of the novel I read before is a person spread a virus to change the gene of 30% of human, which lost the ability to have a child. But we don’t have the virus in reality, so our government has to think out ways to control the population on the earth.
",4.5,6,4,5,4,3
"We have our own choices
    During last twenty years, we can have a conclusion that the earth has too much burden because of human being. Out of the future of our planet, many counties like ours, decides to have a law for Population and Family Planning. So, there comes to us, the one-child.
    We are lonely, selfish, weird and so many cruel words. We are unhealthy both in mental and physical. We don’t know the meaning of share and tolerance. From the other side, there also comes strengths. We have the all attention from the whole family. we grow up with full love.
However, after that, we have 4 elder relatives or more to support. 
Now, let’s just focus on the target for our law. Does it really worked? We abandonded our kids reluctantly, that is not our choice! But when we look at those people who keep giving birth for they didn’t get a boy, they will ignore the law with no hesitation. Consequently, the parents who truly want to have children cannot have, the parents who want to have boy because of prejudice will never follow the law. Is that we want? Absolutely not! The government and law is a tool to control our life, but it cannot overturn the situation. Moral is higher than law. It is a truth that we cannot object to.
We are human, and we have our own choice. I will not deny the fact that the rules will have effect for our life, but if you want to solve the problem once and for all, you have to change people’s mind, thoughts and belief on that. 
",4,5.5,4.5,4,4.5,3
"Should a government be allowed to limit the number of children a family can have?

I think it's very important that a goverment should have the power to control the number of children a family can have.

For example,in china,many family in the countryside ,till now, are still very feudal. They thought that they will be discriminated by others if they can't have a boy in their family, so many poor family just keep on giving birth till the ""boy"" is born.

So what's the problem? Let me tell you. As for many poor family, they didn't have the ability to keep so many children. Few month ago, I saw a piece of news said that there was a family which have five daughters but was so poor that the parents coul only buy them some noodles just to satisfy their hunger. And what I can't understand is it's difficult for these two parents to supply themselves life, so why they keep on giving birth?

So, it's very important for government to limit the number of children a family can have.
I think, if the parents are senior intellectuals and have the ability to raise children,then the government should encourage more birth. If not, the government should take measures to control it.
",4,5,5,5,4.5,3
"Last year Chinese government abolished the one child policy, in order to avoid lacking the manpower in the future. But the policy successfully made our country’s birth rate increase slowly. The one child policy had been carrying out for more than 30 years. And it has great influence in Chinese society. For an individual person, it’s absolutely free for him to decide how many kids he will have. Once the number is ruled by the government, the human rights are violated.  
However, taking no measures to control the people’s increasing will also make problems. Especially in large population based country.
At that time, China has already had the largest population in the world, and it would be more serious with no control. Compared with the bad assumption, human rights should be limited. If the population explosion happens, everyone will have less resource and be poorer than before. People’s living quality can’t been promised, neither will they be happy. 
From my own thoughts, it’s necessary for Chinese government to limit human rights and control the number of kids a family can have in 1980s.
Imagining that you have several brothers or sisters, and your family are not very rich. In original condition, you can go to the college to get further study, but now you can only graduate from high school, which means you may fail to find an ideal job or have less possibility to make more money. When people’s fundamental demands can’t be satisfied, society will in danger.
Compared with the terrible condition mentioned above, most people would like to be the only child in their family. But the dream couldn’t come true without the rules.
And people will not care whether their rights are violated.
How lucky we are!


                                        英双1501 姚振铎 41501320 

               
",5.5,5,5.5,6.5,6,4
"In a long time ago, China implemented the family planning，which limited the number a family can have. Because the government think that overpopulation can cause some serious consequences, such as environmental pollution, food shortage and so on. But recently the government introduced a policy that one family can give birth to two children. In addition, the number of children for a family's quality of life and the development of the country has also had a certain influence. So now we have to consider whether there is a need to limit the population of China.
 In my opinion, countries should not limit the number of children a family can have. Because the reason that many people want children is changed from before to pass to the cause to today for accompany. And for today's China, population aging situation is more and more serious. It also indicates the Chinese population in the next 20 years will be drastically reduce. And now more and more young people don't want to have children due to stress in your life, it is bad for the country. From the human rights, a family want to have children is our own rights. If state interference on the number of children a family can have, will lead to people's discontent to the government, may also affect everyone's happiness. And if China's population decline, the supply of china will be poor, so countries will keep pace with productivity, which is harmful for China.
As far as I know, now many young people in China are under pressure and don't want to have children. They think they are the children will seriously affect the life of their own, and the child will not be able to bring them happiness, on the contrary will give them some pressure in life. This means that China wants to maintain the balance of the population of China, it is necessary to ensure that there are more children in life more. So it doesn't make any sense to limit the number of children.
So I think the government shouldn't limit the number of children a family can have.
",4,6.5,5,5.5,5.5,3.5
"    I think it’s necessary to limit the number of children a family in the developing countries, because the problems caused by the population explosion do much harm to poor people.
    There are many problems caused by large population. Such as the shortage of food, apartment, chance to work and other resources that we have to fight for. Because of the gap of limited resources and large population, the fighting will be even bitter. That make a person’s life be filled with competition and pressure and if one wants to live a better life, he/she have to work very hard. Because in this kind of society, only strong person can still get the chance.
I always have the thought that if there were less people in this country, our life might be slow down and we don’t have to handle the pressure. For our society, there won’t be so many people who can’t get the resources of living. They can live on legal jobs and the crime rate may low down. And compared with a large crowd, the smaller crowd is easier to be managed. For example, if one person throws garbage on the ground, it’s easy to clean up and tell he/she do not. But if the number of who throw garbage on the ground became larger and larger, it’s harder to clean and manage. For the environment, the natural resources won’t be used out and we will live in a better environment.
The problem beyond may also appear in developed countries but the level of harm may be very low. Because the society is ready to support all the people. So in developed countries, people can exercise the right of having children as much as they like. But in developing countries, the first mission is development and the large population will make it harder to make it which means that level of citizens’ life will be harder to rise. So for the happiness of all citizens, it’s necessary to limit the number of children a family. When the country is developed, the situation will be different.
",6,5,6,6,7,4
"What do you think about？
   Population and Family Planning had been in China for 20 years.Does it make our country better or worse?Perhaps we couldn’t judge it in few field.This policy is connect with many things than we can imaged.China has the largest population in the world, more than 1.3 billion, which is 20% of the world population.The Family Planning Policy can lighten the social and national burden because of the large amount population.
   Especially the old people who lost their children by accident, but they can not have the second child. Who can take care of them? They are always lonely in their old ages.On the other hand, One couple have to take care four old people when they got married, but it always have some problem. For example, if the old people are in different places,how can the couple take care well of all these old people.In addition,the only kid always will be spoiled by the parents, and it is not good for the kid's growth, and the kid has no sister and brother.He will be lonely too.
    Human rights are important privilege.Many reasons support this. One of the reasons is two heads are better that one, it is more accurate. If the leader don't know what to do, he or she could just simply raise a vote and let the other citizens help him/her out. The second reason is individuality. Individuality is an important issue, without it, the world would be just a big glob of, well, people. The third reason is to follow the trend. What that meant is to follow what others think of, mainly what the major idea of people has is right. Due to those reasons, I strongly believe that human rights are important.





",4.5,5.5,5.5,6,5.5,4
"Assignment 1: Please write an essay about 300 English words based on the following topic.

Should a government be allowed to limit the number of children a family can have?
Discuss this idea considering basic human rights and the danger of population explosion.



My discussion：
Personally speaking, the government should be allowed to limit the number of children a family can have. When it comes to the topic, we have to put basic human rights and the danger of population explosion into consideration. 
Maslow's hierarchy of needs tell us that there are five big aspects about needs for human: physiology, safety, social contact, self-respecting, self-actualization. And for basic human rights, physiology always is related to body basic health which makes you act as a man and different from other animals in the world and has little relationship with the unlimited reproduction. This means the idea that a government is allowed to limit the number of children a family can have is not against basic human rights. But some religions have their own beliefs and can’t tolerate to be limited to have few children. So when a government makes rules about the number of family children, the national and regional factors should be considered. And then there will be a balance between government’s rules and people’s needs.
With the development of the industrial revolution and science and technology, the population has surged in the past 200 years, and the current population has reached 7 billion. The conflict between agricultural land and urban land is accelerating as the population increases, and the extinction of other species accelerates as well. In order to live on earth, human has destroyed much environment which has been a big threat to human and other species. If there is no limit to the number of family children, the amount of people will surpass the carrying capacity of the earth and all lives will die in the end. At this level, the government must control the birth of the children in order to prevent population explosion.
",6,7,5.5,6,5.5,4
